#,player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,dnk,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc
50,Yovel Zoosman,,17,5,25,25,0,4,2,6,2,4,2,0,2,0,0,0,11,7,1,4,1,4,0,0,Be'er Sheva,A
80,Or Cornelius,*,33,8,25,33,0,3,0,3,3,0,1,1,3,0,0,0,4,6,1,4,2,6,0,0,Be'er Sheva,A
,Total,,200,79,53,30,63,25,14,39,17,20,8,8,19,2,2,6,94,0,20,38,9,30,12,19,Be'er Sheva,A
,Team,,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,Kiryat Ata,A
4,Chris Johnson,,26,9,50,33,100,3,1,4,3,2,1,3,2,1,1,0,8,-10,2,4,1,3,2,2,Kiryat Ata,A
11,Brynton Lemar,,15,15,50,60,100,1,1,2,4,3,0,0,1,0,1,0,12,13,2,4,3,5,2,2,Kiryat Ata,A
20,Levi Randolph,*,25,8,40,25,100,4,0,4,2,0,0,0,2,0,0,0,6,-5,2,5,1,4,1,1,Kiryat Ata,A
22,JaCorey Williams,*,19,10,83,0,0,4,1,5,5,2,1,1,0,0,0,1,11,-11,5,6,0,0,0,0,Kiryat Ata,A
24,Oz Blayzer,*,10,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,5,0,1,0,1,0,0,Kiryat Ata,A
33,Gabriel Chachashvili,,19,7,75,0,25,4,2,6,4,2,1,1,1,0,1,1,7,13,3,4,0,0,1,4,Kiryat Ata,A
44,Speedy Smith,*,31,8,33,20,75,1,0,1,1,3,0,6,10,0,0,0,8,-11,1,3,1,5,3,4,Kiryat Ata,A
50,Yovel Zoosman,,24,3,0,33,0,6,1,7,1,1,2,2,2,0,2,0,6,-11,0,2,1,3,0,0,Kiryat Ata,A
80,Or Cornelius,*,31,14,67,40,0,4,0,4,2,0,0,2,0,0,1,0,8,7,4,6,2,5,0,0,Kiryat Ata,A
,Total,,200,74,54,35,69,32,9,41,22,13,5,16,18,1,6,2,71,0,19,35,9,26,9,13,Kiryat Ata,A
,Team,,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Hapoel Haifa,A
4,Chris Johnson,,19,10,100,67,0,1,0,1,1,2,0,0,2,1,0,0,14,0,2,2,2,3,0,0,Hapoel Haifa,A
11,Brynton Lemar,*,32,9,33,20,50,5,0,5,2,4,1,2,7,0,1,0,10,-9,1,3,2,10,1,2,Hapoel Haifa,A
20,Levi Randolph,,21,6,0,40,0,2,0,2,1,1,1,2,3,0,0,0,6,-3,0,1,2,5,0,0,Hapoel Haifa,A
22,JaCorey Williams,,20,10,57,0,40,1,0,1,1,4,2,1,1,0,0,0,10,-4,4,7,0,0,2,5,Hapoel Haifa,A
23,Afek Amsalem,,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Hapoel Haifa,A
24,Oz Blayzer,,22,13,50,50,0,1,3,4,4,2,1,0,2,1,0,0,13,3,2,4,3,6,0,1,Hapoel Haifa,A
33,Gabriel Chachashvili,*,8,2,100,0,0,4,1,5,0,0,0,0,2,0,0,0,8,-2,1,1,0,1,0,0,Hapoel Haifa,A
35,Zach Hankins,*,19,10,60,0,100,4,2,6,1,4,0,0,1,0,0,1,18,-8,3,5,0,0,4,4,Hapoel Haifa,A
50,Yovel Zoosman,*,29,9,20,29,50,5,1,6,2,1,1,4,3,0,3,0,1,-6,1,5,2,7,1,2,Hapoel Haifa,A
80,Or Cornelius,*,29,9,100,50,50,0,0,0,3,1,0,2,1,0,0,0,3,-10,1,1,2,4,1,2,Hapoel Haifa,A
,Total,,200,78,52,36,56,24,11,35,16,19,6,11,22,2,4,1,87,0,15,29,13,36,9,16,Hapoel Haifa,A
,Team,,0,0,0,0,0,3,3,6,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Ness Ziona,H
4,Chris Johnson,*,31,12,67,33,50,3,1,4,3,3,2,1,3,2,0,0,15,5,2,3,2,6,2,4,Ness Ziona,H
11,Brynton Lemar,,19,7,67,25,0,1,0,1,1,4,0,2,1,0,0,0,4,10,2,3,1,4,0,2,Ness Ziona,H
20,Levi Randolph,*,32,16,44,33,83,3,1,4,2,8,1,1,3,0,0,0,21,13,4,9,1,3,5,6,Ness Ziona,H
22,JaCorey Williams,,29,21,64,0,60,6,2,8,4,5,1,2,2,1,0,2,25,25,9,14,0,0,3,5,Ness Ziona,H
24,Oz Blayzer,,10,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,-4,0,1,0,1,0,0,Ness Ziona,H
33,Gabriel Chachashvili,*,9,2,50,0,0,3,1,4,5,0,0,0,0,0,0,0,0,-10,1,2,0,0,0,0,Ness Ziona,H
44,Speedy Smith,*,29,7,0,33,50,4,0,4,3,2,1,1,9,0,1,0,12,-8,0,1,2,6,1,2,Ness Ziona,H
50,Yovel Zoosman,,21,5,0,50,100,1,2,3,2,2,1,0,0,1,0,0,9,2,0,0,1,2,2,2,Ness Ziona,H
80,Or Cornelius,*,20,6,50,50,50,2,0,2,3,1,0,0,0,0,0,0,3,-3,1,2,1,2,1,2,Ness Ziona,H
,Total,,200,76,54,33,61,26,10,36,25,27,6,7,19,5,1,2,95,0,19,35,8,24,14,23,Ness Ziona,H
,Team,,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Maccabi Tel-Aviv,H
3,Khadeen Carrington,,22,16,50,40,100,0,0,0,2,3,1,0,1,0,2,0,11,11,3,6,2,5,4,4,Maccabi Tel-Aviv,H
4,Chris Johnson,*,30,16,50,50,100,3,3,6,2,3,1,0,3,0,0,0,22,-4,2,4,3,6,3,3,Maccabi Tel-Aviv,H
20,Levi Randolph,*,33,33,75,44,75,0,1,1,2,5,1,1,6,0,1,1,33,-1,9,12,4,9,3,4,Maccabi Tel-Aviv,H
24,Oz Blayzer,,13,0,0,0,0,2,0,2,2,1,0,1,1,0,0,0,0,-5,0,0,0,1,0,0,Maccabi Tel-Aviv,H
33,Gabriel Chachashvili,,3,3,100,0,100,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,0,0,1,1,Maccabi Tel-Aviv,H
35,Zach Hankins,*,29,6,50,0,0,4,1,5,3,4,1,1,0,0,1,2,8,0,3,6,0,0,0,0,Maccabi Tel-Aviv,H
44,Speedy Smith,*,31,11,0,29,100,5,0,5,1,5,2,1,2,0,1,0,14,-20,0,3,2,7,5,5,Maccabi Tel-Aviv,H
50,Yovel Zoosman,,16,0,0,0,0,1,0,1,3,0,0,3,1,0,0,0,-6,-5,0,0,0,2,0,0,Maccabi Tel-Aviv,H
80,Or Cornelius,*,23,0,0,0,0,1,1,2,5,0,3,0,0,0,0,0,-4,-2,0,2,0,2,0,0,Maccabi Tel-Aviv,H
,Total,,200,85,53,34,94,17,9,26,20,22,9,7,14,0,5,3,86,0,18,34,11,32,16,17,Maccabi Tel-Aviv,H
,Team,,0,0,0,0,0,2,2,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,Hapoel Holon,H
3,Khadeen Carrington,,25,17,43,33,89,2,0,2,3,5,2,1,4,0,3,0,16,2,3,7,1,3,8,9,Hapoel Holon,H
4,Chris Johnson,,23,11,100,100,100,6,2,8,3,4,0,1,0,1,0,0,20,7,2,2,1,1,4,4,Hapoel Holon,H
15,Nimrod Levi,,18,4,67,0,0,2,0,2,3,1,1,0,1,1,0,0,3,11,2,3,0,3,0,0,Hapoel Holon,H
20,Levi Randolph,*,32,13,22,50,50,1,0,1,2,4,0,3,2,0,0,0,3,-6,2,9,2,4,3,6,Hapoel Holon,H
22,JaCorey Williams,*,19,5,67,0,50,5,1,6,4,2,1,3,0,0,0,0,5,-4,2,3,0,0,1,2,Hapoel Holon,H
24,Oz Blayzer,*,15,0,0,0,0,6,2,8,1,0,0,0,0,0,0,0,4,-8,0,0,0,3,0,0,Hapoel Holon,H
44,Speedy Smith,*,29,6,50,0,100,1,0,1,1,3,0,1,4,0,0,0,5,-5,2,4,0,5,2,2,Hapoel Holon,H
50,Yovel Zoosman,,22,12,60,50,0,3,3,6,3,0,2,1,1,0,1,1,12,7,3,5,2,4,0,0,Hapoel Holon,H
80,Or Cornelius,*,17,4,67,0,0,0,0,0,0,0,1,1,0,1,0,0,3,-9,2,3,0,1,0,0,Hapoel Holon,H
,Total,,200,72,50,25,78,28,10,38,20,19,7,12,12,3,4,1,74,0,18,36,6,24,18,23,Hapoel Holon,H
,Team,,0,0,0,0,0,3,4,7,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,Kiryat Ata,H
3,Khadeen Carrington,,28,16,55,33,100,2,0,2,3,3,0,0,1,0,0,0,12,24,6,11,1,3,1,1,Kiryat Ata,H
11,Brynton Lemar,*,19,14,33,40,100,2,1,3,3,3,0,2,1,0,1,0,10,-9,1,3,2,5,6,6,Kiryat Ata,H
15,Nimrod Levi,,20,10,75,20,33,4,2,6,3,3,0,0,0,0,1,0,8,10,3,4,1,5,1,3,Kiryat Ata,H
22,JaCorey Williams,*,15,7,60,0,100,5,1,6,2,1,2,0,0,1,0,1,13,0,3,5,0,0,1,1,Kiryat Ata,H
23,Afek Amsalem,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Kiryat Ata,H
24,Oz Blayzer,*,25,3,0,25,0,6,1,7,2,2,1,0,2,0,1,0,8,2,0,1,1,4,0,0,Kiryat Ata,H
35,Zach Hankins,,20,11,57,0,50,4,3,7,2,6,1,1,1,0,0,3,17,16,4,7,0,0,3,6,Kiryat Ata,H
44,Speedy Smith,*,30,16,75,40,80,0,1,1,3,4,0,2,12,0,0,0,23,-3,3,4,2,5,4,5,Kiryat Ata,H
50,Yovel Zoosman,,15,5,50,33,0,1,2,3,3,0,1,1,1,1,0,0,4,18,1,2,1,3,0,0,Kiryat Ata,H
80,Or Cornelius,*,27,15,40,75,100,1,0,1,2,2,2,4,0,0,0,0,10,8,2,5,3,4,2,2,Kiryat Ata,H
,Total,,200,97,55,38,75,28,15,43,23,24,7,11,18,2,3,4,111,0,23,42,11,29,18,24,Kiryat Ata,H
,Team,,0,0,0,0,0,8,1,9,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,Maccabi Tel-Aviv,A
3,Khadeen Carrington,,9,2,50,0,0,1,0,1,3,1,0,1,0,0,0,0,-2,-5,1,2,0,1,0,0,Maccabi Tel-Aviv,A
4,Chris Johnson,,26,9,80,0,33,2,1,3,3,3,1,1,0,0,0,0,4,2,4,5,0,5,1,3,Maccabi Tel-Aviv,A
15,Nimrod Levi,*,24,10,100,29,0,2,3,5,5,2,1,0,1,0,0,0,9,-6,2,2,2,7,0,0,Maccabi Tel-Aviv,A
20,Levi Randolph,*,35,18,62,17,83,2,1,3,2,4,0,1,3,0,0,0,16,-6,5,8,1,6,5,6,Maccabi Tel-Aviv,A
22,JaCorey Williams,,20,14,83,0,67,5,0,5,3,4,2,1,2,0,0,3,20,-12,5,6,0,0,4,6,Maccabi Tel-Aviv,A
23,Afek Amsalem,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,Maccabi Tel-Aviv,A
24,Oz Blayzer,*,23,8,100,40,0,3,2,5,2,4,1,0,1,0,0,0,14,5,1,1,2,5,0,0,Maccabi Tel-Aviv,A
44,Speedy Smith,*,35,15,0,62,0,2,1,3,2,2,2,5,9,0,1,0,18,-15,0,2,5,8,0,0,Maccabi Tel-Aviv,A
50,Yovel Zoosman,*,18,2,25,0,0,0,2,2,3,1,0,1,0,0,0,0,-3,-15,1,4,0,1,0,0,Maccabi Tel-Aviv,A
80,Or Cornelius,,8,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,-6,-7,0,2,0,0,0,0,Maccabi Tel-Aviv,A
,Total,,200,78,59,30,67,25,11,36,25,21,7,14,16,0,1,3,77,0,19,32,10,33,10,15,Maccabi Tel-Aviv,A
,Team,,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel Tel-Aviv,H
3,Khadeen Carrington,,22,8,67,25,50,1,0,1,3,4,1,0,3,0,0,0,9,-30,2,3,1,4,1,2,Hapoel Tel-Aviv,H
11,Brynton Lemar,*,31,10,50,0,100,1,0,1,4,3,0,1,1,0,1,0,1,-19,2,4,0,6,6,6,Hapoel Tel-Aviv,H
15,Nimrod Levi,,13,4,50,0,0,3,1,4,4,0,1,3,1,0,0,0,-1,-19,2,4,0,2,0,0,Hapoel Tel-Aviv,H
20,Levi Randolph,*,26,8,0,67,100,2,0,2,1,3,2,1,3,0,0,0,12,-12,0,3,2,3,2,2,Hapoel Tel-Aviv,H
22,JaCorey Williams,,15,6,75,0,0,1,1,2,2,3,0,1,1,1,0,1,9,-15,3,4,0,0,0,0,Hapoel Tel-Aviv,H
23,Afek Amsalem,,3,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,Hapoel Tel-Aviv,H
24,Oz Blayzer,*,24,8,100,17,50,1,0,1,2,1,1,0,1,0,0,0,4,-7,2,2,1,6,1,2,Hapoel Tel-Aviv,H
35,Zach Hankins,*,25,14,46,0,67,5,4,9,2,3,0,0,2,0,1,3,17,-12,6,13,0,0,2,3,Hapoel Tel-Aviv,H
50,Yovel Zoosman,,17,2,100,0,0,5,0,5,1,1,1,2,1,0,0,0,5,-6,1,1,0,2,0,0,Hapoel Tel-Aviv,H
80,Or Cornelius,*,24,4,50,0,0,2,2,4,1,0,0,1,2,2,1,0,3,-17,2,4,0,4,0,0,Hapoel Tel-Aviv,H
,Total,,200,64,53,15,80,22,11,33,20,18,6,11,15,4,3,4,62,0,20,38,4,27,12,15,Hapoel Tel-Aviv,H
,Team,,0,0,0,0,0,1,3,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,Bnei Herzeliya,A
3,Khadeen Carrington,,27,17,20,62,0,2,1,3,3,2,1,1,1,0,0,0,13,-1,1,5,5,8,0,0,Bnei Herzeliya,A
4,Chris Johnson,,25,10,71,0,0,0,1,1,3,2,1,1,1,0,1,0,6,6,5,7,0,2,0,0,Bnei Herzeliya,A
15,Nimrod Levi,,12,4,67,0,0,4,1,5,4,1,0,1,2,0,0,1,4,0,2,3,0,2,0,0,Bnei Herzeliya,A
20,Levi Randolph,*,28,25,75,50,57,3,0,3,3,5,0,1,3,0,0,0,24,11,6,8,3,6,4,7,Bnei Herzeliya,A
24,Oz Blayzer,*,17,3,0,33,0,1,0,1,1,2,1,0,0,0,0,0,4,5,0,0,1,3,0,0,Bnei Herzeliya,A
35,Zach Hankins,*,23,16,70,0,50,3,4,7,1,2,0,1,0,0,0,2,18,4,7,10,0,0,2,4,Bnei Herzeliya,A
44,Speedy Smith,*,27,5,0,25,100,2,0,2,3,2,1,0,5,0,1,0,5,-6,0,3,1,4,2,2,Bnei Herzeliya,A
50,Yovel Zoosman,,21,5,0,33,100,5,1,6,1,2,3,2,1,1,0,0,13,6,0,0,1,3,2,2,Bnei Herzeliya,A
80,Or Cornelius,*,20,0,0,0,0,0,0,0,4,1,0,1,1,0,1,0,-10,0,0,4,0,2,0,0,Bnei Herzeliya,A
,Total,,200,85,53,37,67,21,11,32,23,19,7,9,14,1,3,3,80,0,21,40,11,30,10,15,Bnei Herzeliya,A
,Team,,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,Hapoel Afula,H
3,Khadeen Carrington,,25,13,40,38,0,1,1,2,2,1,0,1,5,0,0,1,10,3,2,5,3,8,0,0,Hapoel Afula,H
4,Chris Johnson,,22,7,33,20,100,4,1,5,3,5,2,1,1,0,0,0,10,6,1,3,1,5,2,2,Hapoel Afula,H
15,Nimrod Levi,,16,5,50,33,0,3,2,5,4,0,1,2,1,1,0,0,4,6,1,2,1,3,0,0,Hapoel Afula,H
20,Levi Randolph,*,27,13,43,33,100,0,1,1,3,3,0,1,1,0,0,0,8,-2,3,7,1,3,4,4,Hapoel Afula,H
22,JaCorey Williams,*,28,16,64,0,40,8,1,9,2,5,0,1,1,0,1,1,20,7,7,11,0,0,2,5,Hapoel Afula,H
24,Oz Blayzer,*,9,3,0,33,0,1,0,1,2,0,0,0,0,0,0,0,0,-8,0,0,1,3,0,0,Hapoel Afula,H
44,Speedy Smith,*,30,11,33,60,0,1,0,1,1,1,0,2,10,0,0,0,16,3,1,3,3,5,0,0,Hapoel Afula,H
50,Yovel Zoosman,,22,11,50,67,75,3,1,4,2,3,3,0,2,1,0,1,19,2,1,2,2,3,3,4,Hapoel Afula,H
80,Or Cornelius,*,21,2,100,0,0,1,0,1,3,0,0,0,0,1,0,0,0,-2,1,1,0,1,0,0,Hapoel Afula,H
,Total,,200,81,50,39,73,27,10,37,22,18,6,8,21,3,1,3,95,0,17,34,12,31,11,15,Hapoel Afula,H
