#,player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,dnk,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
12,Shahar Amir,,4,3,0,100,0,1,0,1,1,0,0,0,0,0,0,0,3,-2,0,0,1,1,0,0,Maccabi Tel-Aviv,A,24,21,Amit Schaerf
15,Kevin Hervey,*,32,17,50,40,100,1,1,2,3,1,1,0,2,2,0,0,14,-18,2,4,4,10,1,1,Maccabi Tel-Aviv,A,24,21,Amit Schaerf
16,Yotam Hanochi,,18,12,75,50,0,1,0,1,4,0,0,1,0,0,0,0,5,4,3,4,2,4,0,0,Maccabi Tel-Aviv,A,24,21,Amit Schaerf
21,Netanel Artzi,*,19,6,100,0,0,0,2,2,1,1,0,2,3,0,0,0,5,-12,3,3,0,2,0,2,Maccabi Tel-Aviv,A,24,21,Amit Schaerf
44,Niv Misgav,*,29,8,67,20,100,1,1,2,2,4,2,2,10,0,0,0,17,-6,2,3,1,5,1,1,Maccabi Tel-Aviv,A,24,21,Amit Schaerf
,Total,,200,82,57,32,64,21,11,32,22,15,8,11,25,2,0,2,90,0,24,42,9,28,7,11,Maccabi Tel-Aviv,A,24,21,Amit Schaerf
,Team,,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Galil Elion,A,15,19,Amit Schaerf
3,Justin Smith,*,24,15,33,0,58,1,3,4,4,8,1,0,1,1,0,1,13,19,4,12,0,0,7,12,Galil Elion,A,15,19,Amit Schaerf
6,Tahjere McCall,,21,11,57,33,0,4,1,5,2,0,4,3,4,1,0,0,15,20,4,7,1,3,0,0,Galil Elion,A,15,19,Amit Schaerf
8,Shawn Dawson,,22,14,71,50,50,3,0,3,1,3,2,2,5,1,0,0,21,10,5,7,1,2,1,2,Galil Elion,A,15,19,Amit Schaerf
9,Hans Vanwijn,*,29,9,0,60,0,4,3,7,3,1,0,2,1,1,0,0,11,13,0,1,3,5,0,0,Galil Elion,A,15,19,Amit Schaerf
11,C.J. Harris,*,19,5,100,25,0,1,0,1,1,0,1,0,5,1,0,0,9,6,1,1,1,4,0,0,Galil Elion,A,15,19,Amit Schaerf
12,Shahar Amir,,20,12,100,100,0,2,1,3,3,2,1,0,0,1,0,0,14,8,3,3,2,2,0,2,Galil Elion,A,15,19,Amit Schaerf
16,Yotam Hanochi,,20,8,50,50,0,5,1,6,1,1,1,1,1,0,0,0,12,18,1,2,2,4,0,0,Galil Elion,A,15,19,Amit Schaerf
21,Netanel Artzi,*,21,10,100,0,0,2,1,3,1,1,1,1,2,0,0,0,13,3,5,5,0,2,0,0,Galil Elion,A,15,19,Amit Schaerf
23,Ben Altshuler,,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,-4,0,0,0,0,0,0,0,Galil Elion,A,15,19,Amit Schaerf
30,Ran Solomon,,1,2,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,1,1,0,1,0,0,Galil Elion,A,15,19,Amit Schaerf
31,Roee Oselka,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Galil Elion,A,15,19,Amit Schaerf
44,Niv Misgav,*,19,6,100,33,50,3,0,3,2,3,0,2,5,0,0,0,10,10,1,1,1,3,1,2,Galil Elion,A,15,19,Amit Schaerf
,Total,,200,92,63,42,50,28,10,38,20,19,11,13,24,6,1,1,117,0,25,40,11,26,9,18,Galil Elion,A,15,19,Amit Schaerf
,Team,,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Hapoel Jerusalem,H,25,22,Amit Schaerf
3,Justin Smith,*,27,14,70,0,0,2,1,3,2,2,3,2,0,0,1,3,13,-13,7,10,0,0,0,1,Hapoel Jerusalem,H,25,22,Amit Schaerf
6,Tahjere McCall,,29,17,44,25,86,2,3,5,5,8,2,1,4,0,0,0,21,6,4,9,1,4,6,7,Hapoel Jerusalem,H,25,22,Amit Schaerf
8,Shawn Dawson,,13,5,67,0,100,1,0,1,3,1,0,0,1,0,0,0,2,1,2,3,0,2,1,1,Hapoel Jerusalem,H,25,22,Amit Schaerf
12,Shahar Amir,,8,0,0,0,0,0,1,1,3,1,0,0,0,0,1,0,-5,1,0,1,0,2,0,0,Hapoel Jerusalem,H,25,22,Amit Schaerf
15,Kevin Hervey,*,23,12,100,60,100,2,0,2,1,0,1,4,1,0,0,0,9,-16,1,1,3,5,1,1,Hapoel Jerusalem,H,25,22,Amit Schaerf
16,Yotam Hanochi,,19,6,67,0,100,0,1,1,1,1,0,1,0,0,0,0,2,11,2,3,0,3,2,2,Hapoel Jerusalem,H,25,22,Amit Schaerf
21,Netanel Artzi,*,25,11,40,40,25,3,2,5,1,3,2,0,1,0,0,0,12,-14,2,5,2,5,1,4,Hapoel Jerusalem,H,25,22,Amit Schaerf
22,Drew Crawford,*,26,11,67,25,0,5,1,6,2,2,1,1,2,0,0,2,14,-5,4,6,1,4,0,0,Hapoel Jerusalem,H,25,22,Amit Schaerf
44,Niv Misgav,*,30,13,100,75,100,2,1,3,2,2,3,6,12,0,0,0,24,-6,1,1,3,4,2,2,Hapoel Jerusalem,H,25,22,Amit Schaerf
,Total,,200,89,59,34,72,19,12,31,20,20,12,15,21,0,2,5,96,0,23,39,10,29,13,18,Hapoel Jerusalem,H,25,22,Amit Schaerf
,Team,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Be'er Sheva,A,17,23,Amit Schaerf
3,Justin Smith,*,27,13,55,0,50,8,3,11,5,2,1,2,1,0,2,2,13,15,6,11,0,0,1,2,Be'er Sheva,A,17,23,Amit Schaerf
6,Tahjere McCall,*,28,13,67,67,50,5,0,5,5,5,5,5,4,0,0,0,17,5,2,3,2,3,3,6,Be'er Sheva,A,17,23,Amit Schaerf
11,C.J. Harris,,28,16,50,50,100,2,0,2,0,2,0,2,5,0,0,1,18,25,1,2,4,8,2,2,Be'er Sheva,A,17,23,Amit Schaerf
12,Shahar Amir,,22,11,50,60,0,3,2,5,2,0,0,0,3,0,0,0,14,10,1,2,3,5,0,0,Be'er Sheva,A,17,23,Amit Schaerf
16,Yotam Hanochi,*,27,15,50,75,0,5,0,5,4,0,0,2,3,1,0,0,14,-2,3,6,3,4,0,0,Be'er Sheva,A,17,23,Amit Schaerf
21,Netanel Artzi,*,40,15,0,57,75,7,0,7,3,4,2,1,4,0,1,0,22,17,0,1,4,7,3,4,Be'er Sheva,A,17,23,Amit Schaerf
23,Ben Altshuler,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,Be'er Sheva,A,17,23,Amit Schaerf
44,Niv Misgav,*,27,11,20,100,0,1,0,1,2,2,0,1,5,0,0,0,12,8,1,5,3,3,0,0,Be'er Sheva,A,17,23,Amit Schaerf
,Total,,200,94,47,63,64,32,5,37,21,15,8,13,25,1,3,3,111,0,14,30,19,30,9,14,Be'er Sheva,A,17,23,Amit Schaerf
,Team,,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Maccabi Tel-Aviv,H,31,25,Amit Schaerf
3,Justin Smith,*,30,17,86,0,83,3,1,4,3,6,2,0,0,1,0,3,25,1,6,7,0,0,5,6,Maccabi Tel-Aviv,H,31,25,Amit Schaerf
6,Tahjere McCall,*,33,23,78,60,0,5,1,6,3,7,4,5,5,0,0,1,32,14,7,9,3,5,0,1,Maccabi Tel-Aviv,H,31,25,Amit Schaerf
8,Shawn Dawson,,19,2,50,0,0,0,0,0,1,0,0,0,3,0,0,0,2,13,1,2,0,1,0,0,Maccabi Tel-Aviv,H,31,25,Amit Schaerf
11,C.J. Harris,,21,10,40,0,100,4,0,4,0,4,1,2,4,0,0,0,15,-9,2,5,0,3,6,6,Maccabi Tel-Aviv,H,31,25,Amit Schaerf
12,Shahar Amir,,9,0,0,0,0,2,0,2,3,0,0,0,1,0,0,0,-1,7,0,0,0,1,0,0,Maccabi Tel-Aviv,H,31,25,Amit Schaerf
15,Kevin Hervey,,18,10,50,40,0,3,1,4,1,0,0,2,0,0,0,0,6,1,2,4,2,5,0,0,Maccabi Tel-Aviv,H,31,25,Amit Schaerf
16,Yotam Hanochi,*,23,2,33,0,0,2,1,3,3,1,0,0,0,1,0,0,1,4,1,3,0,1,0,0,Maccabi Tel-Aviv,H,31,25,Amit Schaerf
21,Netanel Artzi,*,22,4,67,0,0,1,0,1,3,0,0,0,2,1,1,0,0,5,2,3,0,3,0,0,Maccabi Tel-Aviv,H,31,25,Amit Schaerf
44,Niv Misgav,*,25,14,25,80,0,4,2,6,3,1,1,4,0,0,0,0,11,-6,1,4,4,5,0,0,Maccabi Tel-Aviv,H,31,25,Amit Schaerf
,Total,,200,82,59,38,85,28,7,35,20,19,8,13,15,3,1,4,96,0,22,37,9,24,11,13,Maccabi Tel-Aviv,H,31,25,Amit Schaerf
,Team,,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,Maccabi Ramat Gan,A,28,27,Amit Schaerf
3,Justin Smith,*,31,21,71,0,33,1,6,7,3,4,0,1,1,1,1,3,23,2,10,14,0,0,1,3,Maccabi Ramat Gan,A,28,27,Amit Schaerf
6,Tahjere McCall,*,31,8,50,0,100,4,2,6,2,7,2,3,12,0,0,0,27,5,2,4,0,1,4,4,Maccabi Ramat Gan,A,28,27,Amit Schaerf
8,Shawn Dawson,,7,2,100,0,0,1,0,1,1,0,0,1,0,0,0,0,1,-6,1,1,0,0,0,0,Maccabi Ramat Gan,A,28,27,Amit Schaerf
11,C.J. Harris,,21,4,0,33,50,3,1,4,3,1,0,0,3,3,0,0,8,-6,0,1,1,3,1,2,Maccabi Ramat Gan,A,28,27,Amit Schaerf
12,Shahar Amir,,16,10,33,33,100,0,0,0,2,1,1,0,1,0,0,0,5,4,1,3,2,6,2,2,Maccabi Ramat Gan,A,28,27,Amit Schaerf
16,Yotam Hanochi,,22,8,50,0,0,3,2,5,1,1,1,1,1,0,0,1,7,14,4,8,0,3,0,0,Maccabi Ramat Gan,A,28,27,Amit Schaerf
21,Netanel Artzi,*,21,7,50,50,0,6,1,7,5,0,1,1,3,0,1,0,8,-5,2,4,1,2,0,0,Maccabi Ramat Gan,A,28,27,Amit Schaerf
22,Drew Crawford,*,24,11,50,40,75,3,0,3,4,2,0,3,0,0,1,0,3,-8,1,2,2,5,3,4,Maccabi Ramat Gan,A,28,27,Amit Schaerf
44,Niv Misgav,*,27,13,20,43,100,1,0,1,3,2,2,4,3,0,0,0,6,5,1,5,3,7,2,2,Maccabi Ramat Gan,A,28,27,Amit Schaerf
,Total,,200,84,52,33,76,24,13,37,24,18,7,15,24,4,3,4,90,0,22,42,9,27,13,17,Maccabi Ramat Gan,A,28,27,Amit Schaerf
,Team,,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Kiryat Ata,H,30,28,Amit Schaerf
3,Justin Smith,*,24,13,40,0,62,2,3,5,3,5,0,1,1,0,0,2,11,6,4,10,0,0,5,8,Kiryat Ata,H,30,28,Amit Schaerf
6,Tahjere McCall,*,21,18,55,25,100,2,0,2,5,3,0,3,2,0,2,0,7,0,6,11,1,4,3,3,Kiryat Ata,H,30,28,Amit Schaerf
8,Shawn Dawson,,16,3,0,0,50,4,0,4,4,5,1,1,1,0,0,0,5,0,0,1,0,0,3,6,Kiryat Ata,H,30,28,Amit Schaerf
12,Shahar Amir,,24,14,0,57,100,3,0,3,4,1,0,1,1,1,1,0,10,9,0,1,4,7,2,2,Kiryat Ata,H,30,28,Amit Schaerf
15,Kevin Hervey,,16,10,25,50,100,2,1,3,0,1,0,1,2,1,0,0,11,-1,1,4,2,4,2,2,Kiryat Ata,H,30,28,Amit Schaerf
16,Yotam Hanochi,,19,4,33,0,100,4,2,6,1,1,1,0,3,0,0,0,11,2,1,3,0,1,2,2,Kiryat Ata,H,30,28,Amit Schaerf
21,Netanel Artzi,*,24,11,50,75,0,5,2,7,1,0,2,1,1,0,0,0,17,3,1,2,3,4,0,0,Kiryat Ata,H,30,28,Amit Schaerf
22,Drew Crawford,*,25,10,67,33,0,2,1,3,0,0,2,2,2,1,0,1,11,3,2,3,2,6,0,0,Kiryat Ata,H,30,28,Amit Schaerf
44,Niv Misgav,*,31,7,33,25,67,1,0,1,2,2,0,2,9,0,0,0,9,3,1,3,1,4,2,3,Kiryat Ata,H,30,28,Amit Schaerf
,Total,,200,90,42,43,73,26,10,36,20,18,6,12,22,3,3,3,94,0,16,38,13,30,19,26,Kiryat Ata,H,30,28,Amit Schaerf
,Team,,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel Eilat,A,26,24,Amit Schaerf
6,Tahjere McCall,*,22,10,75,33,50,4,0,4,3,4,0,3,0,0,0,0,8,-19,3,4,1,3,1,2,Hapoel Eilat,A,26,24,Amit Schaerf
8,Shawn Dawson,,17,2,33,0,0,4,0,4,3,1,0,0,2,0,0,0,3,6,1,3,0,1,0,0,Hapoel Eilat,A,26,24,Amit Schaerf
9,Hans Vanwijn,,22,10,20,100,100,2,3,5,3,3,0,0,2,0,1,0,12,6,1,5,2,2,2,2,Hapoel Eilat,A,26,24,Amit Schaerf
11,C.J. Harris,,25,10,0,100,67,0,1,1,1,4,0,1,1,0,0,0,9,-1,0,3,2,2,4,6,Hapoel Eilat,A,26,24,Amit Schaerf
12,Shahar Amir,,16,5,0,33,100,2,0,2,2,2,0,0,1,0,0,0,6,-4,0,0,1,3,2,2,Hapoel Eilat,A,26,24,Amit Schaerf
15,Kevin Hervey,*,24,2,33,0,0,4,0,4,0,0,1,2,1,0,0,0,0,-8,1,3,0,4,0,0,Hapoel Eilat,A,26,24,Amit Schaerf
16,Yotam Hanochi,*,21,6,25,0,67,3,3,6,2,2,0,0,0,1,2,0,2,-12,2,8,0,2,2,3,Hapoel Eilat,A,26,24,Amit Schaerf
21,Netanel Artzi,*,26,9,60,25,0,5,0,5,2,1,1,1,3,0,0,0,11,-15,3,5,1,4,0,0,Hapoel Eilat,A,26,24,Amit Schaerf
44,Niv Misgav,*,27,8,50,40,0,1,0,1,4,2,2,1,5,0,0,0,9,-18,1,2,2,5,0,0,Hapoel Eilat,A,26,24,Amit Schaerf
,Total,,200,62,36,35,73,28,7,35,20,19,4,9,15,1,3,0,62,0,12,33,9,26,11,15,Hapoel Eilat,A,26,24,Amit Schaerf
,Team,,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,Hapoel Tel-Aviv,A,27,26,Amit Schaerf
3,Justin Smith,*,26,19,44,0,83,3,5,8,3,4,0,1,1,0,1,3,17,-16,7,16,0,0,5,6,Hapoel Tel-Aviv,A,27,26,Amit Schaerf
6,Tahjere McCall,*,29,9,30,50,0,5,0,5,1,1,1,4,5,1,2,0,6,-17,3,10,1,2,0,1,Hapoel Tel-Aviv,A,27,26,Amit Schaerf
8,Shawn Dawson,,25,5,50,0,25,5,0,5,2,2,0,1,1,1,0,0,5,-13,2,4,0,1,1,4,Hapoel Tel-Aviv,A,27,26,Amit Schaerf
9,Hans Vanwijn,,15,4,50,0,0,0,2,2,2,1,0,0,0,1,0,0,3,-6,2,4,0,1,0,0,Hapoel Tel-Aviv,A,27,26,Amit Schaerf
12,Shahar Amir,,17,3,100,0,50,0,1,1,1,1,1,1,0,0,0,0,2,-4,1,1,0,1,1,2,Hapoel Tel-Aviv,A,27,26,Amit Schaerf
15,Kevin Hervey,,24,2,50,0,0,9,0,9,2,1,1,1,1,0,0,0,7,-4,1,2,0,3,0,0,Hapoel Tel-Aviv,A,27,26,Amit Schaerf
16,Yotam Hanochi,*,14,3,0,50,0,2,0,2,4,0,0,3,1,0,0,0,-4,-12,0,2,1,2,0,0,Hapoel Tel-Aviv,A,27,26,Amit Schaerf
21,Netanel Artzi,*,23,2,25,0,0,4,2,6,2,0,2,1,0,0,0,0,2,-13,1,4,0,2,0,0,Hapoel Tel-Aviv,A,27,26,Amit Schaerf
44,Niv Misgav,*,27,12,25,40,100,1,2,3,3,2,0,3,7,0,0,0,12,-15,1,4,2,5,4,4,Hapoel Tel-Aviv,A,27,26,Amit Schaerf
,Total,,200,59,38,24,65,32,16,48,20,12,5,15,16,3,3,3,57,0,18,47,4,17,11,17,Hapoel Tel-Aviv,A,27,26,Amit Schaerf
,Team,,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,Hapoel Jerusalem,A,29,29,Amit Schaerf
3,Justin Smith,*,29,17,50,0,70,2,2,4,1,6,1,1,0,1,2,4,17,-10,5,10,0,0,7,10,Hapoel Jerusalem,A,29,29,Amit Schaerf
6,Tahjere McCall,*,28,15,80,40,50,2,0,2,3,4,2,7,10,0,0,1,18,-8,4,5,2,5,1,2,Hapoel Jerusalem,A,29,29,Amit Schaerf
8,Shawn Dawson,,18,10,75,25,100,3,0,3,2,2,0,1,0,0,0,1,8,-12,3,4,1,4,1,1,Hapoel Jerusalem,A,29,29,Amit Schaerf
12,Shahar Amir,,17,4,50,0,0,1,0,1,4,2,0,0,1,0,0,0,1,-6,2,4,0,1,0,0,Hapoel Jerusalem,A,29,29,Amit Schaerf
15,Kevin Hervey,,19,11,33,43,0,1,1,2,1,1,1,1,1,0,1,0,5,-12,1,3,3,7,0,2,Hapoel Jerusalem,A,29,29,Amit Schaerf
16,Yotam Hanochi,*,20,4,50,0,67,4,1,5,1,3,0,1,2,1,0,0,8,-10,1,2,0,3,2,3,Hapoel Jerusalem,A,29,29,Amit Schaerf
21,Netanel Artzi,,11,2,100,0,0,1,0,1,4,0,0,1,1,0,0,0,-2,-5,1,1,0,1,0,0,Hapoel Jerusalem,A,29,29,Amit Schaerf
22,Drew Crawford,*,29,11,50,75,0,4,1,5,4,0,1,1,0,0,1,0,9,-17,1,2,3,4,0,0,Hapoel Jerusalem,A,29,29,Amit Schaerf
30,Ran Solomon,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,Hapoel Jerusalem,A,29,29,Amit Schaerf
44,Niv Misgav,*,28,2,100,0,0,1,1,2,1,4,0,2,6,0,0,0,9,-9,1,1,0,2,0,0,Hapoel Jerusalem,A,29,29,Amit Schaerf
,Total,,200,76,59,33,61,19,9,28,21,22,6,16,21,2,4,6,76,0,19,32,9,27,11,18,Hapoel Jerusalem,A,29,29,Amit Schaerf
